Episode,Date,Host,Guest,Project / Company
Episode 1,"April 7, 2006","Leo Laporte, Chris DiBona",Introducing Chris DiBona
Episode 2,"April 14, 2006","Leo Laporte, Chris DiBona",[Ben Goodger](https://en.wikipedia.org/wiki/Ben_Goodger),[Mozilla Firefox](https://en.wikipedia.org/wiki/Mozilla_Firefox)
Episode 3,"April 22, 2006","Leo Laporte, Chris DiBona",[Rob Malda](https://en.wikipedia.org/wiki/Rob_Malda) (CmdrTaco),[Slashdot](https://en.wikipedia.org/wiki/Slashdot)
Episode 4,"May 3, 2006","Leo Laporte, Chris DiBona","[Brad Fitzpatrick](https://en.wikipedia.org/wiki/Brad_Fitzpatrick), [chromatic](https://en.wikipedia.org/wiki/Chromatic_(programmer))","[LiveJournal](https://en.wikipedia.org/wiki/LiveJournal), [Perl](https://en.wikipedia.org/wiki/Perl)"
Episode 5,"May 12, 2006","Leo Laporte, Chris DiBona",[Miguel de Icaza](https://en.wikipedia.org/wiki/Miguel_de_Icaza),"[GNOME](https://en.wikipedia.org/wiki/GNOME), [Mono](Mono_(software)https://en.wikipedia.org/wiki/)"
Episode 6,"May 19, 2006","Leo Laporte, Chris DiBona",[Larry Augustin](https://en.wikipedia.org/wiki/Larry_Augustin),[VA Software](https://en.wikipedia.org/wiki/VA_Software)
Episode 7,"May 26, 2006","Leo Laporte, Chris DiBona",[Jimmy Wales](https://en.wikipedia.org/wiki/Jimmy_Wales),[Wikimedia Foundation](https://en.wikipedia.org/wiki/Wikimedia_Foundation)
Episode 8,"June 16, 2006","Leo Laporte, Chris DiBona",[Ryan Gordon](https://en.wikipedia.org/wiki/Ryan_Gordon),[Simple DirectMedia Layer](https://en.wikipedia.org/wiki/Simple_DirectMedia_Layer)
Episode 9,"July 15, 2006","Leo Laporte, Chris DiBona",[Randal Schwartz](https://en.wikipedia.org/wiki/Randal_Schwartz),[Perl](https://en.wikipedia.org/wiki/Perl)
Episode 10,"July 22, 2006","Leo Laporte, Chris DiBona",[Jeff Bates](Jeff_Bates_(Slashdot)https://en.wikipedia.org/wiki/),[Slashdot](https://en.wikipedia.org/wiki/Slashdot)
Episode 11,"August 4, 2006","Leo Laporte, Chris DiBona",[Guido van Rossum](https://en.wikipedia.org/wiki/Guido_van_Rossum),[Python](Python_(programming_language)https://en.wikipedia.org/wiki/)
Episode 12,"August 11, 2006","Leo Laporte, Chris DiBona",[Rasmus Lerdorf](https://en.wikipedia.org/wiki/Rasmus_Lerdorf),[PHP](https://en.wikipedia.org/wiki/PHP)
Episode 13,"September 27, 2006","Leo Laporte, Chris DiBona",[Eben Moglen](https://en.wikipedia.org/wiki/Eben_Moglen),[Free Software Foundation](https://en.wikipedia.org/wiki/Free_Software_Foundation)
Episode 14,"October 13, 2006","Leo Laporte, Chris DiBona",[Jeremy Allison](https://en.wikipedia.org/wiki/Jeremy_Allison),[Samba](Samba_(software)https://en.wikipedia.org/wiki/)
Episode 15,"November 10, 2006","Leo Laporte, Chris DiBona",Tarus Balog,[OpenNMS](https://en.wikipedia.org/wiki/OpenNMS)
Episode 16,"February 21, 2007","Leo Laporte, Chris DiBona",[Jeff Waugh](https://en.wikipedia.org/wiki/Jeff_Waugh),[linux.conf.au](linux.conf.https://en.wikipedia.org/wiki/au)
